Title,Body,Tags
configure kdiff instead emerge git mergetool,git mac osx snow leopard try edit merge diff tool use kdiff instead emerge try use not launch gui kdiff keep cmd base interface setting gitconfig [ merge ] tool kdiff [ mergetool kdiff ] cmd applications kdiff app content macos kdiff args base local output trustexitcode false [ diff ] tool kdiff [ difftool kdiff ] cmd applications kdiff app content macos kdiff args base local output trustexitcode false obviously something miss wrong," macos, git, merge, config, kdiff3"
validation error value not valid,problem p selectonemenu no matter not get jsf call setter jpa entity jsf validation fail message form location validation error value not valid work several class type ie join table class not life get one work anyone throw troubleshooting debug tip sort problem would greatly appreciate use log statement verify follow conveter return correct non null value no bean validation jpa entity setter setlocation location location never call simple example simply not work h body h form idform p message idmessage autoupdatetrue p selectonemenu idlocation value locationstocklist selected location converterlocationconverter p ajax eventchange updateform lbllocation f selectitem value locationstocklist locationselection p selectonemenu h form h body converter facesconverter forclass location class valuelocationconverter public class locationconverter implement converter serializable private static final logger logger logger getlogger locationconverter class getname override public object getasobject facescontext context uicomponent component string value value isempty return null try long long parselong value location location locationmanagedbean context getapplication getelresolver getvalue context getelcontext null location find id logger log level severe convert new object [ ] value location return location catch numberformatexception e return new location override public string getasstring facescontext context uicomponent component object value value null value tostring isempty value instanceof location return return string valueof location value getid console output getter method info current value ejb locations location[ id null name null latitude longitude ] session bean info find ejb locations location id session bean info return ejb locations location[ id name mdmd latitude longitude ] converter severe convert ejb locations location[ id name mdmd latitude longitude ] getter method select location go info current value ejb locations location[ id null name null latitude longitude ]," validation, jsf, jpa, converter, selectonemenu"
loop array dimension plpgsql,plpgsql want get array content one one two dimension array declare varchar [ ] arr varchar [ ] [ ] array[ [ keyval ] [ keyval ] ] begin select arr loop raise notice end loop end code return keyval keyval one line want able loop call another function take parameter like another_func keyval," arrays, postgresql, multidimensional-array, for-loop, plpgsql"
function not type type kind sort help put blow mind back together,usual read chapter lyah bed routine feel like brain expand every code sample point convince understand core awesomeness haskell understand standard library type class could start write real software read chapter applicative functor sudden book claim function not merely type type treat example make instance type class type constructor like mind blow yet immediately jump bed boot computer go ghci discover follow prelude k earth mean type constructor value constructor take guess would no idea define traditional datum format easy enough type constructor datum either b leave right b suspect inability express form relate extremly weird type signature stumble upon high kinde type kind signature like come think appear kind signature mean not type constructor also kind constructor related question mark type signature read somewhere wish could find google fail able extend type system arbitrarily go value type value kind type sort kind something else sort something else something else forever reflect kind signature also run notion lambda cube calculus construction without take time really investigate remember correctly possible define function take type return type take value return value take type return value take value return type take guess type signature function take value return type would probably express like possibly although see no fundamental immutable reason second example could not easily interpret function value type value type type synonym string something first example well express function whose type transcend type signature mind function take value type return something not express type," haskell, types, ghc, type-systems, higher-kinded-types"
http status code mean not ready yet try later,develop restful api httpserver thingyapi thingyblob return file aka blob associate item download request could make file generate definitely available later time batch process server generate blob item already exist datum blob already available server not generate blob yet not want return thing not exist exist not generate yet kinda like youtube video process not think redirection code would proper either no url try correct http status code return case," http, rest, language-agnostic, batch-processing, http-status-codes"
date command not follow linux specification mac os x lion,develop script linux box quite time want run mac well think function mac function linux today realize wrong know function exist mac think function exist implementation problem specifically regard date command run command linux machine parameter provide time nanosecond get correct result run mac not option linux machine date n current time nanoseconds mac machine date n n go get current time nanosecond bash command mac bad case create small piece code call system function c something call within script help much appreciate," macos, bash, date, scripting, porting"
display notice admin panel plugin activation,try display notice admin panel activate test plugin display method," wordpress, plugins, panel, admin, activation"
zsh auto completion git take significant amount time I turn optimize,git tab autocompletion useful small project currently work two big project use git bad useless whenever type say git add form tab git take second find file example forms py timespan not anything else terminal way turn autocompletion feature somehow make fast," git, bash, zsh, git-bash, zsh-completion"
cpu branch instruction slow,since start program read every place avoid wasteful branch cost fine although none article explain exactly happen cpu decode branch instruction decide jump thing make slow instruction like addition," optimization, architecture, language-agnostic, compiler-construction, cpu"
set playback device execute batch file powershell script,get computer window hook tv often change output device sound digital audio pdif high definition audio device headset corsair ca hs usb headset wanna able execute batch script file change not right click volume playback device mark output device click set default know luxury problem hey maybe learn something someone help appreciate," audio, powershell, batch-file, powershell-2.0, playback"
https connection use curl command line,new curl cacert world face problem connect server basically need test connectivity https one machine another machine url need connect machine linux machine try command prompt cmd curl https[ domain ip address ] get follow curl ssl certificate problem verify ca cert ok detail error ssl routine ssl_get_server_certificate certificate verify fail go article internet openssl s_client connect domain name ip address get response include server certificate inside begin certificate end certificate next think copy paste text inside begin certificate end certificate save file type file pem crt try copy text inside begin certificate end certificate save crt file name myca crt also try thing name myca pem file cmd curl cacert myca crt https[ domain ip address ] get error," curl, ssl, command-line, https, certificate"
simple tool measure c program cache hit miss cpu time linux,write small program c want measure performance want see much time run processor many cache hitmisse make information context switch memory usage would nice program take less second execute like information proc[ pid ] stat not know see program die kill idea edit think valgrind add lot overhead want simple tool like proc[ pid ] stat always," performance, cpu-cache, measurement, context-switch, memcache-stats"
difference clojure scheme racket common lisp,know dialect family language call lisp exactly difference could give overview possible cover topic syntax characteristic feature resource," clojure, lisp, scheme, common-lisp, racket"
header file x simd intrinsic,header file provide intrinsic different x simd instruction set extension mmx sse avx seem impossible find list online correct wrong," x86, header-files, sse, simd, intrinsics"
deploy exist package use publish profile,try use new publish profile support available vs vs via update create continuous delivery deployment pipeline whereby package zip make first stage package deploy various environment use different configuration task property involve deploy exist package use setting define pubxml file command line without cause build put another way would like publish package later publish package another profile without rebuild know use msdeploy directly would prefer less plumbing project possible," msbuild, msdeploy, webdeploy, web-publishing, msbuild-wpp"
lowercase json key name json marshal go,wish use encoding json package marshal struct declare one import package application eg type struct foo int import available export field struct begin upper case letter wish low case key name err json marshal foo result foo wish get foo possible get around problem easy way," json, go, serialization, tags, marshalling"
one use connect get http method http proxy server,build webclient library implement proxy feature make research see code use connect method request url check within web browser not use connect method call get method instead confused use method," proxy, httpwebrequest, http-request, http-proxy, proxy-server"
I right difference floyd warshall dijkstra bellman ford algorithms,study three state inference could someone tell understand accurately enough not thank dijkstras algorithm use single source want know small path one node another fail case like floyd warshall algorithm use node source want short distance reach destination node source node fail negative cycle important one mean one least sure bellman ford use like dijkstra one source handle negative weight working floyd warshall except one source right need look corresponding algorithm courtesy wikipedia bellman ford procedure bellmanford list vertex list edge vertex source implementation take graph represent list vertex edge modify vertex distance predecessor attribute store short path step initialize graph vertex v vertex v source v distance else v distance infinity v predecessor null step relax edge repeatedly size vertices edge uv edge uv edge u v u uv source v uv destination u distance uv weight v distance v distance u distance uv weight v predecessor u step check negative weight cycle edge uv edge u uv source v uv destination u distance uv weight v distance error graph contain negative weight cycle dijkstra function dijkstra graph source vertex v graph initialization dist[ v ] infinity unknown distance function source v previous[ v ] undefine previous node optimal path source dist[ source ] distance source source q set node graph node graph unoptimize thus q q not empty main loop u vertex q small distance dist [ ] start node first case dist[ u ] infinity break remain vertex inaccessible source remove u q neighbor v u v not yet remove q alt dist[ u ] dist_between u v alt dist[ v ] relax u v dist[ v ] alt previous[ v ] u decrease key v q reorder v queue return dist floyd warshall assume function edgecost j return cost edge j infinity none also assume n number vertex edgecost int path [ ] [ ] dimensional matrix step algorithm path[ ] [ j ] short path j use intermediate vertex k path[ ] [ j ] initialize edgecost j procedure floydwarshall k n n j n path[ ] [ j ] min path[ ] [ j ] path[ ] [ k ] path[ k ] [ j ]," algorithm, graph-theory, dijkstra, floyd-warshall, bellman-ford"
allow keyboard focus link firefox,go ultra simple fiddle webkit browser click input httpjsfiddle netektt input typetext input typetext input typetext hrefmy first linka hrefmy second linka hrefmy third linka notice keyboard navigate input link use tab key shifttab navigate reverse order look fiddle firefox mac os thing input receive focus link not receive focus not css display problem focus leap last input url bar try endless combination tabindex declaration markup no avail e g httpjsfiddle netektt heck go accept answer fiddle work firefox b explanation exactly go mozillas head appear contradict spec," macos, firefox, keyboard, accessibility, tabindex"
simulate different nat behaviour,work holepunche use udp udt final testing need test application different nat type symmetric full cone restrict cone port restrict nat method simulate expect kind virtual box setup use pc router configure accord need general test application different network condition," networking, network-programming, udp, nat, hole-punching"
count number time date occur make graph,list date date occur want count number time date occur histogram display graph axis number time date occur x axi date sample list click every menu option past year never find anything specific would case use pivottable somehow," excel, date, graph, excel-2010, unique"
node js mongoose regex query multiple field,would like query multiple field use regular expression query would like accept single text input check firstname lastname field result query single field fine use regex function mongoose documentation syntax clause give trouble var new regexp req params search app user find [ firstname regex lastname regex ] sort title exec function err user res json json stringify user run mongoose node js," regex, node.js, mongodb, express, mongoose"
array slice datum type,find confused array slice datum type go docs array describe follow major difference way array work go c go array value assign one array another copy element particular pass array function receive copy array not pointer size array part type type [ ] int [ ] int distinct function language c family everything go pass value function always get copy thing pass assignment statement assign value parameter instance pass int value function make copy int pass pointer value make copy pointer not datum point sort ints arrayvalue modify pass variable declare array not slice code var av [ ] int fmt println av sort ints av fmt println av return output [ ] [ ]," arrays, go, slice, pass-by-value, func"
frontend testing test tool use,write test ruby code frontend developer obviously interested bring code write frontend code quite different option play around casperjs capybara rspec jasmine cucumber rspec people use testing far people test javascript link form hardcode content thought would greatly appreciate," testing, jasmine, frontend, ui-automation, casperjs"
clean eclipse workspace metadata,use multiple workspace eclipse recently notice workspace lot cruft software package instal later remove far tell situation many package write stuff sometimes lot stuff metadata folder every workspace open package instal remove package seem clean metadata folder workspace happen open time workspace leave orphan metadata sometimes metadata cause problemsoften error open workspace sometimes instability way know deal create new workspace import project polluted workspace reconstruct setting major pain delete old workspace easy way deal," eclipse, metadata, configuration-files, workspace, eclipse-metadata"
fail load javahl library,update snow lion start receive error flash builder eclipse try use svn fail load javahl library error encounter no libsvnjavahl java library path opt subversion lib libsvnjavahl dylib library not load usr lib libpq dylib reference opt subversion lib libsvnjavahl dylib reason no suitable image find find usr lib libpq dylib mach wrong architecture usr lib libpq dylib mach wrong architecture no svnjavahl java library path java library path library java extensionssystem library java extensionsusr lib java," eclipse, apache-flex, svn, flash-builder, subclipse"
define application version one place multiple application,system consist numerous application application version change time currently release new version manually open project option application change version one one way compile application version example save global file upon compilation read file assign version project try eliminate many step plan change version number frequently would like change one place," delphi, msbuild, compilation, version, delphi-xe2"
convert simple arm instruction binary hex,try use page well various guide figure express simple arm instruction binary hex seem like straightforward process still not understand example basic nop go go _ _ _ _ _ _ _ _ _ _ _ mov r r _ _ _ _ express register basic question compare two register cmp r r add immediate register value add r xa tutorial online excellent describe use instruction like none able find actually walk convert arm instruction binary hex machine code gets assemble thank advance help," assembly, binary, hex, arm, opcodes"
postgresql performance use array big database,let say table million record integer column text column read table every integer column index every record around byte table name item server gb ram tb sata core server postgre many table database ram not cover database want add table item column a_element array type big integer every record would not element column would create index gin column typical query look like select item a_element also second classical option not add column a_element table item create table element two column id_item id_element table would around mln record able partition table number record would reduce mln table element k table item second option query look like select item item leave join element item id_item elements id_item elements id_element wonder option would well performance point view postgre able use many different index index gin option single query need make good decision import datum take day," arrays, performance, postgresql, join, bigdata"
I embed youtube video github wiki page,fairly new markup though extremely easy pickup work package try get wiki page look nice help manual insert youtube video link wiki page pretty easily embed youtube video know may not possible read use html tag try embed html per link follow object width height param namemovie valuehttpwww youtube com user wwwlovewatercomv btrnyetpyg param namewmode valuetransparent embe srchttpwww youtube com user wwwlovewatercomv btrnyetpyg typeapplication x shockwave flash wmodetransparent width height object save page nothing happen possible embed youtube video github wiki page," video, github, youtube, embed, markdown"
azure blob always download navigate url,application give user abilty upload document window azure blob storage account upload document image gets assign url httpsname blob core windows netcontainerfilename jpg document image pdf file render browser try display browser without require user download file open new window tab direct user blob uri ie image pdf render correctly browser try open new window pointing uri chrome firefox safari download file instead display browser way force latter three browser display file instead download," firefox, google-chrome, azure, blob, azure-storage"
sql order string number,number save varchar mysql database not make int due depend circumstance take character not number sort database page show order list like make appear order number ascend," mysql, sql, string, numbers, sql-order-by"
place multiple evenly spaced arrowhead along svg line,new svg try draw straight line two point manage far use command line x x stylestroke rgb stroke width stroke dasharray simple way add tiny triangle arrow head evenly space line order indicate direction edit clear not arrow end line multiple triangle evenly space along whole line possible would like replace dash dashed line triangle pointing direction line edit base phrogz suggestion create page show nothing show wrong languagevbscript codepage doctype html public wcdtd xhtml transitionalen httpwww w orgtrxhtmldtdxhtmltransitional dtd html xmlnshttpwww w org xhtml head meta http equivcontent type contenttext html charset utf title untitle documenttitle link hrefcss com css relstylesheet typetext css head body stylebackground none svg xmlnshttpwww w org svg viewbox def marker idt markerwidth markerheight orientauto refy path dm l marker defs polyline points svg script typetext javascript midmarkers document queryselector polyline give polygon polyline create intermediary point along straightaway space no close ` space ` distance apart intermediary point along section always evenly space modify polygon polyline place function midmarkers poly spacing var svg poly ownersvgelement var pt poly point ii pts numberofitemsi var p pts getitem p pts getitem var dx p x p x dy p p var math sqrt dxdxdydy var numpoint math floor space dx numpoint dy numpoint var j numpointsjj var pt svg createsvgpoint pt x p xdxj pt p ydyj pts insertitembefore pt numpoints numpoints script body html," svg, line, drawing, markers, svg-marker"
prevent networksetup ask password,little app use change proxy mac use networksetup command set proxy setting work fine lion mountain lion though ask admin password every single time change proxy setting networksetup try modify system network configuration type password allow way prevent happen well way change proxy setting cocoa lion system remember put password authenticate reboot also notice chrome proxy switchy plugin suffer behaviour say scutil try modify system network configuration type password allow," macos, cocoa, proxy, passwords, osx-mountain-lion"
hlist nothing convoluted way write tuple,really interested find difference generally identify canonical use case hlist not use rather not yield benefit regular list aware believe tuplen scala whereas one need single hlist not kind conceptual difference interested mark couple question text might not actually necessary answer mean point thing unclear guide discussion certain direction motivation recently see couple answer people suggest use hlist example provide shapeless include delete answer question give rise discussion turn spark question intro seem hlist useful know number element precise type statically number actually not crucial seem unlikely ever need generate list element vary statically precisely know type not statically know number question could even write example e g loop intuition statically precise hlist statically unknown number arbitrary element arbitrary relative give class hierarchy not compatible hlist vs tuple true e statically know number type question not use n tuple sure typesafely map fold hlist also not typesafely tuple help productiterator since number type element statically know could probably access tuple element directly perform operation hand function f map hlist generic accept element question not use via productiterator map ok one interesting difference could come method overloading several overloaded f strong type information provide hlist contrast productiterator could allow compiler choose specific f however not sure would actually work scala since method function not hlist user input building assumption namely need know number type element statically question hlist use situation element depend kind user interaction e g imagine populate hlist element inside loop element read somewhere ui config file actor interaction network certain condition hold would type hlist similar interface specification getelement hlist [ ] work list statically unknown length allow component system get list arbitrary element component b," scala, types, tuples, hlist, shapeless"
configure jpa let postgresql generate primary key value,project use postgresql database use jpa operate database create entity database automatic creator netbean small change primary key value describe id generatedvalue strategy generationtype identity basic optional false notnull column name idwebuser nullable false private integer idwebuser problem application not flexible modify database directly use sql another tool instead go thru java app generate value low actual database value get error creation new entity possibility jpa could let database generate automatically obtain creation process could well solution thank edit specifically table user problem use type strategy generationtype jpa insert new entity specify generator wrong make change table add new entry generatedvalue application low current lead exception duplicated fix short note answer little lie side use pg admin view first row edit row instead use select anyway turn editor somehow skip process update even db write proper insert execute improper basically problem editor use database application even work use generatedvalue strategy generationtype identity," postgresql, jakarta-ee, jpa, netbeans, entity"
I remove silence mp programmatically,mp file sometimes silence end would like remove silence automatically tell perfect silence amplitude not background noise length content silence vary find question crop first second crop x xn second use ffmpeg would think could use similar approach long way find silence start would programatically example one possible solution would command find beginning silence would expect sequence like end ffmpeg command find start silence ffmpeg end acodec copy inputfile mp outputfile mp solution not use ffmpeg need available ubuntu," ubuntu, audio, ffmpeg, mp3, sox"
cross compile openssh arm,anybody know cross compile openssh arm first download zlib source code untarre build instal use follow command line configure prefixusr local cross arm make make install try compile openssh arm target board give error zlib missing configure process sudo ldflagsl usr local cross arm lib cc arm none linux gnueabi gcc pathpathhome arishop arm tool chain arm fsl linux gnueabi bin configure host arm linux zlibusr local cross arm prefixusr local cross arm openssh," openssl, arm, cross-compiling, zlib, openssh"
reduce pdf file size use ghostscript linux not work,pdf file image mb large not want large pdf file thesis would make download read print pain rear try use ghostscript following gs \ dnopause dbatch \ sdevice pdfwrite \ dcompatibilitylevel \ dpdfsettingsscreen \ soutputfile output pdf \ l_lambda_max_wl_e__zg pdf however mb pdf mb large wrong way check resolution pdf file need dpi image would anyone suggest use convert change resolution someway could change image resolution reduce gs since image grainy use convert use convert convert \ unit pixelsperinch \ desktop l_lambda_max_wl_e__zg pdf \ density \ desktop output pdf example file httpdl dropbox comul_lambda_max_wl_e__zg pdf," pdf, size, resolution, ghostscript, image-resizing"
access virtual host computer local network,try make setup access website virtual host computer computer b b network use xampp win problem go computer server virtual host configuration follow httpdvhosts conf file namevirtualhost project virtualhost project documentroot dwork website servername project directory dwork website option index followsymlink include execcgi allowoverride order allow deny allow directory virtualhost use port port ii run not know much thing however configuration work fine local machine server e project address bar browser open website computer b client change host file contain ip server along name virtual host like project enter project client browser take server not take virtual host directory instead take default directory e case c\xampp\htdocs stuck unable make client point current destination anybody suggest wrong something else need order access correct virtual host site client machine thank advance help," apache, networking, client-server, xampp, virtualhost"
use valuechangelistener f ajax listener,difference follow two piece code regard listener placement h selectonemenu f selectitem f ajax listener bean listener h selectonemenu h selectonemenu valuechangelistener bean listener f selectitem h selectonemenu," ajax, jsf, jsf-2, listener, valuechangelistener"
efficient handling long run http connection nginx gunicorn django web architecture,work web service implement top nginxgunicorndjango client smartphone application application need make long running call external api facebook amazon server simply queue job job server use celery redi whenever possible server queue job return right away http connection closed work fine allow server sustain high load client server job server http request queue job close case client need get result soon job finish unfortunately no way server contact client http connection closed one solution would rely client application poll server every second job complete would like avoid solution possible mostly would hinder reactiveness service also would load server many unnecessary poll request short would like keep http connection run nothing except perhaps send whitespace every keep tcp connection alive like amazon job server return result client server job server http request queue job keep alive [ ] keep alive result result close implement long run http connection efficient way assume server high load not case yet goal able sustain high possible load hundred thousand request per second offload actual job server ensure low cpu usage server avoid process pile use server ram incoming request drop many open connection probably mostly matter configure nginx gunicorn properly read bit async worker base greenlet gunicorn documentation say async worker use application make long blocking call ie external web service sound perfect also say general application able make use worker class no change sound great feedback thank advice," django, performance, web-services, nginx, gunicorn"
run vbscript batch file,need write simple batch file run vbscript vbscript batch file folder syswow directory vbscript execute directory currently batch file follow echo windir\syswow\cmd exe cscript necdaily vbs vbscript not execute command prompt open anyone tell execute vbscript run batch file," vbscript, batch-file, 32bit-64bit, 32-bit, syswow64"
regular expression vs string parse,risk open worm get negative vote find need ask use regular expression appropriate use string parse go need example reasoning stance would like address thing like readability maintainability scaling probably performance answer find another question answer even bother give example need understand currently play around c regular expression almost every high level language would like know different language use handle regular expression also thought thank help understand edit still look example talk response far great," regex, string, performance, parsing, language-agnostic"
slfj fail load class org slfj impl staticloggerbinder error,regard eclipse ide indigo juno kepler bit version platform window ubuntu mac version general info error come update version remove roll back everything work fine try repeat problem window ubuntu give exact error numerous configuration slfj api logback test none seem work error appear maven project even without declare slfj dependency new maven project maven archetype quickstart new maven project simple project without archetype selection result slfj fail load class org slfj impl staticloggerbinder testing enviroment configuration test eclipse indigo eclipse juno bit mac bit ubuntu bit window test fresh install juno classic juno modelling tool kepler standard kepler modelling tool produce error error appear clean install test deploy generate source validate compile package integration test verify combination goal clean rest goal appear also parameter e x attempt delete repository download scratch without success mention test different machine virtual box system produce error try different logback configuration resolve slfj api logback core dependency produce error dependency groupid ch qos logbackgroupid artifactid logback classicartifactid versionversion dependency try different slfj simple configuration dependency groupid org slfjgroupid artifactid slfj simpleartifactid versionversion scope compilescope dependency try different logj slfj configuration dependency groupid org slfjgroupid artifactid logj slfjartifactid versionversion scope compilescope dependency try different slfj jdk configuration dependency groupid org slfjgroupid artifactid slfj jdkartifactid versionversion scope compilescope dependency try different slfj logj configuration dependency groupid org slfjgroupid artifactid slfj logjartifactid versionversion scope compilescope dependency try slfj nop configuration dependency groupid org slfjgroupid artifactid slfj nopartifactid version version scope compilescope dependency last not least log save print despite error way reproduce error download eclipse juno indigo kepler bit installation cause error install maven integration eclipse juno httpdownload eclipse orgreleasesjuno kepler httpdownload eclipse orgreleaseskepler indigo httpdownload eclipse orgtechnologymereleases currently unavailable update version select filenewothermaven projectclick nextselect maven archetype quickstart catalogfinish select filenewothermaven projectclick nextselect create simple project skip archetype selection complete artifact info finish right click projectrun asclean install goal mention first line console slfj fail load class org slfj impl staticloggerbinder slfj default no operation nop logger implementation slfj see httpwww slfj orgcodes htmlstaticloggerbinder detail p exist project produce error update version update edit support site question post bug support site answer igor fedorenko no immediate plan suppress message view bug please refer official support site edit error indication present also version edit error indication present also version edit error indication present also version edit report fix error report fix version luna target milestone version not yet available download luna schedule nov th late dev build available information milestone find main repository," eclipse, maven, m2eclipse, slf4j, logback"
play x reactive file upload iteratee,start question use scala apis iteratee upload file cloud storage azure blob storage case not think important background need chunk input block mb store large medium file mb azure blockblobs unfortunately scala knowledge still poor project java base use scala upload controller try code make call error bodyparser iteratee request hang play framework input iteratee work quite well eachelement could use size byte small send hundred megabyte file cloud must say quite new approach probably misunderstood something not want tell misunderstood everything appreciate hint link help topic sample similar usage would good option get idea," scala, file-upload, playframework-2.0, azure-storage, iterate"
pipe multiple command single command,pipe stdout multiple command single command example combine sort output three echo command echo zzz echo aaa echo kkk desire output aaa kkk zzz example rewrite following command single command line use pipe without redirect temp file setopt tmp foo unsetopt tmp foo set tmp foo sort tmp foo," bash, shell, process, pipe, subshell"
understand stg,design ghc base something call stg stand spineless tagless g machine g machine apparently short graph reduction machine define laziness implement unevaluated thunk store expression tree execute program involve reduce normal form tree acyclic graph haskell pervasive recursion mean haskell expression form general graph hence graph reduction not tree reduction less clear term spineless tagless think spineless refer fact function application not spine function application node instead object name function call point argument correct think tagless refer constructor node not tag constructor instead case expression resolve use jump instruction not sure correct instead seem refer fact node not tag evaluation state anyone clarify interpretation correct," haskell, compilation, ghc, bytecode, intermediate-language"
use ssh agent forwarding vagrant ssh,rather create new ssh key pair vagrant box would like use key pair host machine use agent forwarding try set config ssh forward_agent true vagrantfile reboot vm try use vagrant ssh still getting prompt password try git checkout idea miss," ssh, virtualbox, forwarding, ssh-keys, vagrant"
fatal not git repository parent directory git status,command work get file compile git clone valid git url example git clone gitcfdem git sourceforge netgitrootcfdemliggght however git status git command give fatal not git repository parent directory error wrong," git, repository, clone, git-clone, git-status"
difference ` squash ` ` no ff no commit `,one one use hide microcommit difference git merge squash git merge no ff no commit denial parent," git, merge, git-merge, fast-forward, squash"
I reword first git commit message,work tree contain commmit myproject git master git log commit accedebdfedba author name mymail com date thu aug gitignore edit commit bccdaccaeadefde author name mymail com date mon aug create gitignore file commit acecfbfffceacae author name mymail com date mon aug initial commit misleading message wish reword commit message first commit myproject git master git rebase enter vim pick bccda create gitignore file pick acce gitignore edit rebase acce onto command p pick use commit r reword use commit edit commit message e edit use commit stop amend squash use commit meld previous commit f fixup like squash discard commit log message x exec run command rest line use shell line order execute top bottom remove line commit lose however remove everything rebase abort note empty commit comment case wish correct reword git parlance commit message question initial commit misleading message something appropriate unsurprisingly attempt not succeed since first commit obviously not parent commit rebase need reference next old commit prior one wish reword right gist question thus achieve mean," git, message, git-rebase, git-commit, revision-history"
status cancel resource mean chrome developer tool,would cause page cancel screenshot chrome developer tool happen often not every time seem like resource cache page refresh load leftpane aspx really odd happen google chrome not internet explorer idea chrome would cancel request," debugging, http, google-chrome, developer-tools, web-developer-toolbar"
good practice naming convention maven artifactid restriction,team new maven not able find definitive guidance select artifactid project know guide naming convention say artifactids whatever name want lowercase letter no strange symbol folk group want use reverse domain name style groupid artifactid base mention guideline plus example see central repository not think make sense reverse domain style artifactid not tell actually invalid merely frown upon vaguely remember read something various repository manager not able deal effectively artifactid contain period character not remember read not find rule character allow maven artifactid," maven, naming-conventions, nexus, artifactory, archiva"
msys path conversion cygpath msy,need pass def c\filepath\mylib def command line option bash script ms compiler linker path generate part build process bash script basically argument script pass defc filepath mylib def msy path conversion not handle properly not understand def part work defc filepath mylib def ms tool not understand parameter short proper way write parameter msy bash convert proper argument cygwin could use cygpath no equivalent somebody msy think not need even script cygwin use cygpath," path, portability, mingw32, msys, cygpath"
look fast video encoder least lag stream webcam stream ipad,look fast way encode webcam stream viewable html video tag use pandaboard httpwww digikey comproducthighlightsusentexasinstrumentspandaboardtabs hardware use gstreamer cvlc ffmpeg use drive robot need least amount lag video stream quality not great not need audio also one client bandwidth not issue good solution far use ffmpeg mpjpeg give around sec delay anything well," ffmpeg, video-streaming, html5-video, gstreamer, vlc"
graph dbs vs document dbs vs triplestore,somewhat abstract general question interested inherent well implementation specific property different approach persist unstructured datum lot internal reference graph like lot property json like since graph superset tree look graph dbs e g neoj superset document dbs e g mongodb graph db provide functionality document db plus additionally also allow loop native pointer type not dereference foreign key ids manually tipping point reach add reference object resource well graph db previously well document store advantage document dbs storage space performance always go graph db case need reference future similarly graph dbs triplestore e g rdf store compare graph dbs node edge property seem superset simple triplestore problem perform triplestore actually well say neoj one advantage rdf store standardized query language sparql although seem lot people not like sparql thus would call disadvantage guess question graph model property seem able neatly express kind datum catch enter reality suppose catch graph dbs performance would love see number rule thumb kind slowdown expect loading query modifying datum well memory persistent storage requirement compare document triple store also horizontal scalability get impression playing field quite level think possible graph expressibility become new default storage model project not super large datum doom decade polyglot persistence rdbms json store graph dbs live along integrate even glue code," mongodb, graph, neo4j, rdf, nosql"
upload bundled minify file window azure cdn,use asp net mvc bundle minify feature microsoft aspnet web optimization namespace e g styles render content static css would like use combination window azure cdn look write custom bundletransform content not optimize yet also look parse upload optimize stream runtime feel like hack not really like stylescdn render url absolutecontent styles url content static css tostring public static ihtmlstre render string absolutepath get version hash string versionhash httputility parsequerystring new uri absolutepath query get v parse upload cdn version hash different versionhash _ versionhash _ versionhash versionhash webclient client new webclient stream stream client openread absolutepath uploadstreamtoazurecdn stream var stylesheetlink string format link href\ v \ rel\stylesheet\ type\text css\ cdnendpointprotocol cdnendpointurl cdncontainer cdncssfilename versionhash return new htmlstring stylesheetlink upload bundled minify version automatically window azure cdn," azure, asp.net-mvc-4, cdn, bundling-and-minification, asp.net-optimization"
lazy evaluation time complexity,look around stackoverflow non trivial lazy evaluation lead keegan mcallister presentation learn haskell slide show minimum function define minimum head sort state complexity n not understand complexity say linear sort replacement nlog n sorting refer post not linear not assume anything datum would require linear sort method count sort lazy evaluation play mysterious role explanation behind," algorithm, sorting, haskell, lazy-evaluation, time-complexity"
dyld dyld _ environment variable ignore main executable usr bin sudo setuid setgid,since update get follow error try sudo command pretty annoying dyld dyld _ environment variable ignore main executable usr bin sudo setuid setgid mean hope anyone help," macos, command-line, sudo, osx-mountain-lion, dyld"
size tword oword yword operand,size tword oword yword operand use nasm yasm manual related note trick underlying idea name way big word size give logical name know word size may differ system nasm word byte dword double byte qword quad word byte tword triple word byte oword yword not even think plausible meaning note probably easy question could not find answer nasm yasm manual size not explain not even dq dt dy resq rest resy pseudo instruction read somewhere masm use similar system could not find anything either edit base answer complete list byte bit byte db resb byte bit word dw resw byte bit dword dd resd byte bit qword dq resq byte bit tword dt rest byte bit oword reso ddq resdq byte bit yword dy resy byte bit zword dz resz," assembly, nasm, word, yasm, word-size"
rest api website use facebook authentication,website way login authenticate site facebook not choice first time login facebook account gets automatically create want create iphone application site also public api use service question authenticate website app api break part correct way handle rest authentication api website use facebook oauth authentication method read research lot standard method authentication rest api not use method basic auth https no credential user something like seem authenticating application use api currently good way think hit authorize end point api redirect facebook oauth redirect back site provide token user api use authenticate subsequent request official application create would not necessarily need use public api way would good way talk website authenticate user understand think authenticate rd party application use api use api public key secret private key however come authenticate user use app get rather confused go way authenticate user facebook feel like miss something obvious not fully understand public rest api work advice help would greatly appreciate," facebook, rest, authentication, openid, facebook-authentication"
